fecha,Total_ocupados,Obrero_empleado_particular,Obrero_empleado_gobierno,Empleado_domestico,Trabajador_cuenta_propia,Patron_o_empleador,Trabajador_familiar_sin_pago,Jornalero_o_peon,Otro
2010-01,17699.41,5850.78,800.82,680.54,7840.01,947.55,907.72,655.71,16.28
2010-02,18255.69,6511.65,752.99,665.67,7739.36,989.75,779.04,806.13,11.09
2010-03,18158.11,6149.32,873.95,654.58,7832.2,1006.17,909.88,722.79,9.22
2010-04,18572.97,6578.1,795.58,661.17,7944.82,904.58,867.27,806.64,14.82
2010-05,18357.94,6425.96,733.36,720.21,8141.81,902.33,752.47,660.85,20.95
2010-06,18548.73,6054.09,849.1,601.5,8379.76,996.23,881.24,769.11,17.71
2010-07,18369.29,6667.86,778.75,735.74,7781.58,869.8,797.13,707.84,30.61
2010-08,18612.71,6283.77,833.83,689.01,8115.92,836.15,829.95,999.38,24.7
2010-09,19025.2,6379.23,793.9,653.77,8373.75,1103.97,957.11,736.16,27.32
2010-10,19280.24,6551.27,712.9,664.99,8569.72,939.89,966.99,842.44,32.04
2010-11,19140.58,6398.62,804.54,702.27,8596.2,960.55,911.08,734.65,32.67
2010-12,18876.45,6474.32,737.04,636.68,8468.81,1012.82,858.74,674.89,13.14
2011-01,18369.33,6273.16,788.19,660.57,8018.67,955.5,949.73,715.47,8.05
2011-02,18404.62,6280.79,806.54,672.01,7974.51,997.03,832.16,814.34,27.23
2011-03,18924.6,6493.38,798.71,648.74,8399.33,893.59,823.27,842.95,24.63
2011-04,18896.95,6617.09,755.48,707.46,8350.83,835.95,805.51,796.3,28.33
2011-05,19063.15,6524.73,835.24,665.18,8405.93,971.65,842.29,803.45,14.69
2011-06,19043.34,6549.08,823.4,650.77,8647.11,981.72,756.23,620.75,14.28
2011-07,19013.12,6569.32,855.86,689.29,8380.21,994.94,799.45,707.58,16.47
2011-08,19057.49,6568.12,769.46,673.41,8212.69,1031.99,793.8,988.04,19.97
2011-09,19559.76,6793.26,907.47,602.92,8745.55,900.87,816.24,777.13,16.32
2011-10,20401.58,6782.51,696.98,802.06,9090.34,1140.71,1079.63,764.58,44.78
2011-11,20085.48,6709.64,769.2,662.24,9160.46,974.58,1047.45,739.09,22.82
2011-12,19696.94,6872.08,754.94,661.4,8763.44,942.01,1002.9,663.03,37.14
2012-01,19100.21,6576.07,909.45,632.4,8301.92,1015.75,911.53,735.36,17.72
2012-02,19393.99,6583.06,782.22,632.48,8402.83,1055.32,995.34,911.94,30.8
2012-03,19754.39,6849.41,811.16,706.27,8590.12,1075.38,953.0,746.18,22.86
2012-04,19667.83,7062.49,834.25,712.7,8500.06,894.65,910.35,720.67,32.67
2012-05,19801.19,6941.01,806.32,810.71,8722.03,974.97,865.15,662.54,18.47
2012-06,20099.16,6773.7,922.18,673.13,8875.89,1042.19,1052.52,736.95,22.61
2012-07,19533.23,6925.48,742.73,702.68,8615.24,919.69,825.45,786.25,15.72
2012-08,19897.94,7036.24,821.81,739.51,8351.23,1089.71,949.83,873.46,36.14
2012-09,19654.77,6843.87,817.97,684.42,8839.74,948.83,892.12,602.81,25.02
2012-10,20327.2,7229.66,829.86,744.86,8688.4,1006.75,1002.51,812.34,12.82
2012-11,19992.09,7162.78,806.68,705.02,8783.08,898.29,914.86,695.83,25.54
2012-12,19981.51,7131.52,745.86,622.25,8917.4,954.16,937.28,648.83,24.22
2013-01,19322.46,6973.48,835.69,620.01,8476.83,909.81,861.48,630.16,15.0
2013-02,19345.54,6888.44,736.33,607.29,8373.81,970.14,821.88,919.64,28.02
2013-03,19497.9,7172.2,791.0,633.02,8519.31,833.55,937.77,584.56,26.48
2013-04,19740.59,7375.56,876.07,668.37,8409.51,879.66,818.14,683.94,29.34
2013-05,20201.44,7463.89,838.62,746.94,8824.9,933.49,780.91,575.5,37.18
2013-06,19996.22,6976.64,830.6,737.21,8909.65,938.25,866.36,725.96,11.55
2013-07,20018.16,7450.81,847.47,649.39,8537.49,904.01,772.33,834.03,22.63
2013-08,20169.77,7191.42,870.14,666.91,8624.36,987.42,968.75,833.96,26.82
2013-09,20150.99,7207.85,878.64,723.24,8846.41,874.99,927.24,680.66,11.95
2013-10,20887.62,7497.28,868.16,717.81,8923.56,985.07,1085.02,781.61,29.11
2013-11,20369.79,7404.29,850.74,671.14,8954.17,861.25,824.77,775.02,28.41
2013-12,20376.51,7497.94,792.09,638.96,8991.44,991.06,869.42,578.05,17.55
2014-01,19747.29,7049.02,895.52,669.94,8829.98,892.89,855.54,544.68,9.72
2014-02,19788.46,7645.24,757.46,590.35,8272.69,863.85,783.59,846.57,28.71
2014-03,20034.84,7617.61,801.86,728.81,8673.5,814,797.12,577.97,23.96
2014-04,20450.65,7896.05,823.42,668.12,8653.98,933.61,858.53,595.68,21.25
2014-05,20491.53,7703.01,827.48,720.12,8981.06,895.66,757.63,576.25,30.33
2014-06,20533.05,7500.96,883.21,689.64,9115.39,826.75,849.81,646.42,20.86
2014-07,20242.56,7885.97,959.17,622.43,8457.41,798.61,757.3,746.51,15.15
2014-08,20651.16,7528.66,800.15,703.57,8931.72,937.34,917.97,815.88,15.88
2014-09,20756.84,7757.65,814.6,644.25,9106.16,860.93,881.53,671.18,20.53
2014-10,21418.78,8042.57,835.59,726.05,9262.12,905.16,978.25,650.15,18.9
2014-11,21086.89,7940.94,879.78,694.49,9088.28,850.57,876.51,731.86,24.47
2014-12,20550.65,7899.45,797.21,650.92,8989.16,758.86,925.87,513.25,15.94
2015-01,19998.21,7619.34,815.68,632.26,8682.4,902.26,813.86,522.41,10.0
2015-02,20293.44,7639.85,768.15,643.12,8796.25,813.85,819.51,791.99,20.72
2015-03,20579.09,7931.45,874.24,686.32,8708.46,835.12,893.04,616.03,34.43
2015-04,20844.67,8103.18,794.42,683.16,8926.59,847.73,845.92,622.23,21.44
2015-05,20843.72,7860.6,846.7,839.13,9142.99,762.76,799.44,583.0,9.12
2015-06,20953.35,7757.91,908.76,635.45,9098.31,957.46,854.7,722.43,18.35
2015-07,20717.53,7890.81,821.64,687.84,8999.81,892.38,720.28,691.94,12.84
2015-08,20869.05,7968.12,905.82,677.91,8866.4,890.26,718.96,810.19,31.39
2015-09,20927.33,8132.57,832.87,672.35,9086.87,861.42,808.9,507.92,24.42
2015-10,21644.46,8274.5,838.33,747.45,9176.15,868.5,938.59,768.89,32.04
2015-11,21553.19,7970.41,835.94,728.31,9408.76,859.33,913.54,810.15,26.73
2015-12,21095.78,8093.39,845.95,586.84,9369.26,823.71,817.95,539.17,19.52
2016-01,20246.3,7708.39,894.68,607.37,8932.18,787.54,800.34,507.57,8.24
2016-02,20595.02,7752.5,857.12,638.59,8915.89,810.73,772.7,832.42,15.08
2016-03,20383.15,7932.13,884.12,668.56,8893.37,690.11,766.84,521.81,26.21
2016-04,21099.39,8382.38,884.25,655.9,8986.57,761.39,753.9,652.88,22.11
2016-05,20798.39,8046.45,880.9,628.64,9183.47,819.4,650.36,564.73,24.44
2016-06,21124.23,8006.78,925.1,616.19,9383.99,775.93,824.9,579.25,12.09
2016-07,20546.72,7930.71,831.63,599.79,8969.38,857.25,665.43,678.91,13.63
2016-08,20988.7,8000.37,825.3,688.27,9168.31,809.92,716.8,743.12,36.61
2016-09,20996.44,8139.12,844.69,616.65,9172.78,888.19,687.37,624.24,23.39
2016-10,21647.39,8199.69,796.28,635.71,9555.78,847.83,830.0,768.1,14.01
2016-11,21578.62,8171.74,880.62,640.57,9597.37,843.16,767.96,651.78,25.43
2016-12,21166,8094.8,883.57,659.16,9501.39,749.55,715.62,548.12,13.78
2017-01,20355.92,7747.27,804.43,645.75,9120.55,777.04,672.73,579.12,9.02
2017-02,20674.33,7979.76,720.16,654.73,8968.07,903.85,676.31,758.08,13.39
2017-03,20740.16,8001.53,823.26,581.47,9289.41,724.02,709.04,595.68,15.76
2017-04,21345.46,8381.72,874.8,669.52,9199.75,727.57,804.5,677.9,9.7
2017-05,21015.67,8185.12,863.75,633.67,9323.48,710.74,673.38,609.9,15.62
2017-06,21568.19,7953.05,870.5,680.2,9795.09,832.3,726.53,683.46,27.06
2017-07,20932.96,8041.06,776.14,614.5,9118.2,798.89,751.5,815.37,17.28
2017-08,21210.83,8047.19,891.0,582.1,9242.74,906.02,767.71,762.77,11.29
2017-09,21097.19,8002.43,857.42,623.38,9248.76,942.54,765.0,637.22,20.45
2017-10,21717.21,8321.32,816.8,663.03,9264.47,1021.32,899.25,718.5,12.52
2017-11,21492.08,8150.93,887.47,629.28,9309.05,995.29,740.88,770.89,8.29
2017-12,21385.38,8129.04,784.29,655.94,9637.62,897.97,774.68,494.49,11.35
2018-01,20419.28,7831.08,789.13,613.03,9112.06,914.41,739.79,402.39,17.38
2018-02,20616.6,8146.25,727.18,532.11,8871.32,824.47,678.3,824.11,12.85
2018-03,20973.51,7970.37,840.12,601.4,9476.06,833.18,666.88,570.45,15.05
2018-04,21410.16,8187.67,848.41,638.53,9450.41,847.99,735.77,680.43,20.94
2018-05,21243.29,8195.59,877.86,695.31,9331.06,833.37,704.71,589.87,15.53
2018-06,21516.87,7933.05,1031.28,634.79,9672.13,821.68,682.09,729.63,12.22
2018-07,21194.28,8181.82,813.26,639.66,9248.83,854.03,590.59,853.51,12.57
2018-08,21498.97,8098.13,917.96,564.41,9444.0,886.91,724.21,848.02,15.33
2018-09,21503.01,7980.43,810.09,624.72,9804.2,928.31,745.75,595.84,13.67
2018-10,21768.05,8145.89,771.25,639.57,9768.09,940.36,779.31,704.4,19.18
2018-11,21355.2,8034.23,869.31,554.57,9556.69,881.6,663.45,774.86,20.48
2018-12,21761.25,8266.06,869.28,678.75,9748.55,856.26,766.88,557.95,17.52
2019-01,20603.15,7967.97,846.14,653.4,9134.36,803.25,645.46,539.25,13.32
2019-02,21048.17,8116.76,869.95,634.53,9100.21,792.99,678.51,840.42,14.79
2019-03,21137.64,8441.12,961.43,668.55,9088.08,729.73,583.38,655.47,9.87
2019-04,21053.75,8629.37,778.49,701.58,8873.67,768.32,658.4,627.05,16.85
2019-05,21197.31,8650.03,761.21,547,9122.36,824.9,691.84,582.22,17.75
2019-06,21689.29,8369.42,952.08,672.95,9442.02,732.6,780.45,733.46,6.31
2019-07,21104.22,8394.6,856.22,725.85,8908.74,710.22,547.62,942.63,18.33
2019-08,21066.03,8398.19,861.02,594.42,8811.98,844.15,686.56,853.07,16.64
2019-09,21295.33,8324.73,863.82,675.71,9124.52,835.53,647.26,813.45,10.32
2019-10,21896.71,8512.1,792.96,674.31,9478.55,786.2,777.63,859.16,15.8
2019-11,21895.67,8554.05,849.13,600.02,9620.11,751.24,699.2,797.82,24.11
2019-12,21730.48,8489.53,791.18,661.82,9557.15,690.61,725.94,802.99,11.27
2020-01,20700.83,8174.47,891.19,666.64,8881.43,809.36,597.35,673.16,7.23
2020-02,21019.0,8455.18,820.58,642.96,8827.17,726.72,554.4,981.5,10.48
2020-03,19695.65,7707.4,935.88,528.47,8742.86,516.04,636.94,616.89,11.16
2020-04,15987.84,6114.78,785.67,341.79,7239.88,496.62,422.39,577.37,9.34
2020-05,16673.35,6442.54,825.61,344.83,7433.77,519.51,518.85,571.38,16.85
2020-06,17705.47,6656.98,823.04,380.83,8041.56,610.52,608.16,582.61,1.77
2020-07,17373.66,6349.96,718.69,416.02,8092.45,497.91,492.1,804.98,1.55
2020-08,18833.32,7117.24,857.9,453.28,8276.75,600.31,679.2,847.65,0.99
2020-09,19371.52,7291.09,768.58,501.04,8777.16,692.95,690.28,648.01,2.42
2020-10,20384.01,7526.11,901.22,598.3,9231.39,683.67,668.83,757.92,16.56
2020-11,20371.98,7486.02,886.17,530.01,9409.69,656.62,569.62,827.33,6.52
2020-12,20472.89,7575.34,914.34,504.65,9496.02,650.76,614.05,713.66,4.08
2021-01,19105.58,7667.18,977.14,449.37,7739.35,534.63,522.55,809.75,405.62
2021-02,20161.7,7910.21,1102.45,439.57,8676.69,453.23,472.96,820.21,286.38
2021-03,20094.35,8091.24,1013.61,416.2,8845.07,392.38,366.08,765.69,204.08
2021-04,19756.42,7884.6,1105.43,450.27,8681.94,479.35,421.71,667.8,65.32
2021-05,19988.54,8180.7,1132.85,457.4,8593.43,454.53,400.1,725.2,44.31
2021-06,20072.81,8302.29,890.7,419.17,8908.05,438.93,406.53,696.72,10.42
2021-07,20416.9,8109.01,978.47,551.11,9121.75,450.04,428.33,763.97,14.21
2021-08,20576.64,8070.49,1037.9,555.45,9308.91,499.18,359.71,735.44,9.58
2021-09,20681.08,8546.6,954.01,491.87,9172.22,488.64,384.19,641.43,2.12
2021-10,21084.49,8570.46,891.66,506.35,9503.19,487.26,411.45,696.83,17.29
2021-11,21267.08,8297.95,1069.36,523.43,9587.96,617.97,443.87,708.81,17.74
2021-12,21495.31,8768.9,900.72,544.82,9436.19,553.78,496.56,786.66,7.67
2022-01,20695.78,8691.82,990.98,557.23,8816.34,555.63,382.64,695.34,5.8
2022-02,21680.92,9083.54,906.29,595.12,9317.5,593.69,517.8,655.43,11.55
2022-03,21679.83,9289.41,924.45,586.58,9060.15,584.78,427.35,800.22,6.91
2022-04,21957.39,9495.87,902.88,635.2,9185.24,628.69,471.81,630.81,6.89
2022-05,22184.76,9346.77,1019.57,696.39,9299.34,646.05,429.24,729.24,18.16
2022-06,22022.6,9347.07,902.65,692.04,9448.12,569.15,396.25,659.55,7.77
2022-07,22055.06,9321.1,968.05,651.77,9269.02,646.1,469.82,717.02,12.16
2022-08,22160.0,9458.87,959.12,624.29,9463.69,670.76,358.9,598.89,25.47
2022-09,22389.33,9435.03,852.9,670.7,9622.95,663.78,454.31,667.71,21.95
2022-10,22606.05,9803.32,857.97,668.84,9368.79,678.49,453.61,754.14,20.88
2022-11,22486.28,9703.51,886.68,729.66,9347.42,725.36,443.36,632.73,17.57
2022-12,22468.15,9764.68,840.58,676.63,9375.45,647.19,467.5,691.19,4.94
2023-01,21491.57,9647.66,892.54,637.29,8734.34,551.64,441.35,585.64,1.11
2023-02,22232.69,9409.47,917.52,658.45,9396.8,642.24,504.43,696.72,7.07
2023-03,22793.7,9690.02,1007.65,609.8,9611.05,638.66,528.31,687.14,21.08
2023-04,22741.96,9723.1,958.79,605.34,9589.95,688.07,497.72,672.2,6.79
2023-05,22567.45,9931.34,918.5,627.45,9425.02,593.1,429.78,619.41,22.85
2023-06,23052.26,10290.61,898.03,716.89,9433.64,629.65,491.56,586.27,5.61
2023-07,23181.79,9889.2,880.68,694.75,9873.22,659.41,459.3,716.11,9.13
2023-08,23161.08,9953.7,941.98,722.33,9659.26,711.14,415.58,747.6,9.5
2023-09,23106.59,10007.84,993.33,666.24,9620.82,650.83,451.19,700.11,16.22
2023-10,23081.78,10206.21,827.07,680.87,9580.72,611.39,377.35,794.67,3.5
2023-11,23185.54,10011.57,837.1,701.08,9731.85,649.12,457.49,779.15,18.17
2023-12,22864.32,9982.4,900.56,653.26,9479.98,616.27,521.71,700.4,9.74
2024-01,22024.6,9811.15,886.23,668.34,8775.75,604.81,433.25,843.81,1.28
2024-02,22492.94,9765.09,931.64,681.49,9355.11,501.58,511.22,742.23,4.57
2024-03,22645.07,9925.04,903.96,690.58,9256.77,637.31,423.76,786.0,21.66
2024-04,22864.64,10097.03,1003.74,642.41,9298.81,597.88,486.36,729.0,9.41
2024-05,23030.09,10341.76,909.2,718.75,9203.46,678.03,433.83,737.91,7.15
2024-06,22921.96,10339.83,799.41,691.85,9248.47,612.87,501.34,702.09,26.1
2024-07,23202.98,10115.85,896.16,710.98,9603.94,633.23,521.29,705.94,15.6
2024-08,23417.87,10145.27,895.5,778.2,9760.41,599.88,489.39,740.87,8.34
2024-09,23213.31,10214.94,877.74,688.88,9695.15,568.17,457.66,704.78,6.0
2024-10,23393.11,10596.29,820.42,739.18,9457.5,666.23,403.08,698.53,11.86
2024-11,23605.26,10279.89,927.89,730.49,9750.16,677.98,418.97,806.75,13.12
2024-12,23620.68,10143.19,866.11,713.54,10131.82,538.78,466.93,752.91,7.39
2025-01,22902.83,10233.42,836.12,691.89,9392.46,531.69,474.85,735.64,6.76
2025-02,23469.48,10076.71,940.94,711.81,10029.45,573.16,504.55,621.54,11.33
2025-03,23702.39,10109.3,829.79,788.61,9878.2,657.49,524.08,906.88,8.05
2025-04,23576.08,10388.99,974.51,612.85,9826.39,576.44,439.92,749.41,7.56
2025-05,23626.83,10584.93,806.92,698.26,9815.63,555.2,367.78,787.1,11.01
2025-06,23752.95,10644.99,909.42,719.31,9691.52,551.14,382.86,846.25,7.46
2025-07,23969.04,10884.9,808.77,732.65,9773.68,516.5,437.85,804.53,10.17
2025-08,23810.84,10569.77,835.12,774.17,9961.67,544.11,321.75,795.63,8.61
2025-09,23926.85,10687.91,897.39,717.84,9739.18,602.79,459.61,812.8,9.32
2025-10,24369.61,10788.63,834.98,653.16,10108.95,621.57,465.59,885.59,11.15
2025-11,24598.64,10782.58,881.06,786.44,10237.66,650.45,375.99,878.51,5.96
2025-12,24223.65,11063.31,925.62,706.18,9632.55,601.24,433.81,848.61,12.35
2026-01,23227.0,10250.39,881.23,671.39,9587.37,646.29,420.51,768.82,1.0
2026-02,24093.96,10607.13,912.62,769.47,9928.3,678.44,514.19,673.86,9.95
